address,helixTokenBalance,vipPresaleBalance,airdropBalance,masterChefAmount,masterChefPending,vaultDepositSum,referralReward
0x121ec79e9eb2540eb211797fa09052364a7d28c5,0,80000000000000000000000,0,0,0,6097260575779840694999,0
0x1358a617cb1aa22513adb315dc33e58c8c046b93,0,12000000000000000000000,675887866312523468847,0,0,0,0
0x135d022ead508d642e6adeca8ac709c32995ffa4,30000000000000000000000,140000000000000000000000,0,0,0,0,0
0x14358553c0318e3342769df2f5b7375152f6964e,0,0,109067221114657528154,0,0,0,0
0x1445329c46c0c1ee6abd44b1c9e7b6d416ce02d3,40000000000000000000000000,0,0,0,0,0,0
0x146486480292552bca70468fb8059653c9c5affa,0,23200000000000000000000,0,0,0,0,0
0x14720ee0555ac02aac7cd59a0d72caf56025ca97,0,0,1399845982869620095392,0,0,0,0
0x14c046560024c5b6af1ca1936bf2a4b766b6f16c,0,0,0,0,0,0,0
0x152c0f9c32c393961e9803a9467b2194e1c00b21,51358823528000000000000,0,0,0,0,0,0
0x1572ca9ef546072a0759c80428775656c379b550,0,0,0,0,0,0,0
0x186bbe24dedf99e1fbb68dd5e86cebca8e386179,300000000000000000000,0,0,0,0,0,0
0x189d81b32b847d94b12317c2fa64199d7cf506bb,109678060677067563681,0,0,3003980008125527,585921022074687856527,0,0
0x1bbda612525d0361a0c46fc001830a6e0ddb7eaa,139261008081724902066,48000000000000000000000,0,349550629702580,1590084174467264666772,0,0
0x1c2f4e6f6ea7aee8b11b5f46589e958f51647c07,0,0,0,0,0,0,0
0x1d4c05eb659fe28ff58ffe6ca672acb6c55e86d2,1523921612817947713091,40400000000000000000000,0,317198904714338,1449937322368136109923,8044829588998495564510,0
0x1de45454db147d32f827ca8223ac09c45b2753a0,0,0,5354644319813351646690,0,0,0,2287487933227299176690
0x1e6b290e5eaccf5a293cf803b96540d73a8188e4,0,0,0,0,0,0,0
0x1fdbae6036d0bd2daf267c809fc45c7ab6ec67bb,0,0,0,0,0,0,0
0x20f634db547e9e64802f53e95565a82c0d26b031,0,16000000000000000000000,1013831799468785203271,0,0,0,0
0x20f7f9b7c1aef55106b9c4cf66fb316346b73b41,222258419505677924532,416000000000000000000000,0,10158760985739488290,20621440946625067454,12888595728924010320458,50953502638485833205
0x210f6a9e076af8d46d25e523f02c52cfeede535e,329063523500729516174,0,0,0,0,0,0
0x2112c519dcdc58b1bda919f6f728c19a838dd372,0,12000000000000000000000,0,32116363904808445315,1303960006390781567037,0,0
0x21b60c7a211365c9c662a6c96f00d9acbb689431,0,0,0,0,0,0,0
